Category,BodyType,Animation,AttemptedPath,Error
"hair","male","walk","No LPC data found for hair/male","No sprite data available"
"hair","male","hurt","No LPC data found for hair/male","No sprite data available"
"hair","male","idle","No LPC data found for hair/male","No sprite data available"
"hair","male","shoot","No LPC data found for hair/male","No sprite data available"
"hair","male","slash","No LPC data found for hair/male","No sprite data available"
"hair","female","walk","No LPC data found for hair/female","No sprite data available"
"hair","female","hurt","No LPC data found for hair/female","No sprite data available"
"hair","female","idle","No LPC data found for hair/female","No sprite data available"
"hair","female","shoot","No LPC data found for hair/female","No sprite data available"
"hair","female","slash","No LPC data found for hair/female","No sprite data available"
"hair","child","walk","No LPC data found for hair/child","No sprite data available"
"hair","child","hurt","No LPC data found for hair/child","No sprite data available"
"hair","child","idle","No LPC data found for hair/child","No sprite data available"
"hair","child","shoot","No LPC data found for hair/child","No sprite data available"
"hair","child","slash","No LPC data found for hair/child","No sprite data available"
"hair","teen","walk","No LPC data found for hair/teen","No sprite data available"
"hair","teen","hurt","No LPC data found for hair/teen","No sprite data available"
"hair","teen","idle","No LPC data found for hair/teen","No sprite data available"
"hair","teen","shoot","No LPC data found for hair/teen","No sprite data available"
"hair","teen","slash","No LPC data found for hair/teen","No sprite data available"
"body","male","walk","No LPC data found for body/male","No sprite data available"
"body","male","hurt","No LPC data found for body/male","No sprite data available"
"body","male","idle","No LPC data found for body/male","No sprite data available"
"body","male","shoot","No LPC data found for body/male","No sprite data available"
"body","male","slash","No LPC data found for body/male","No sprite data available"
"body","female","walk","No LPC data found for body/female","No sprite data available"
"body","female","hurt","No LPC data found for body/female","No sprite data available"
"body","female","idle","No LPC data found for body/female","No sprite data available"
"body","female","shoot","No LPC data found for body/female","No sprite data available"
"body","female","slash","No LPC data found for body/female","No sprite data available"
"body","child","walk","No LPC data found for body/child","No sprite data available"
"body","child","hurt","No LPC data found for body/child","No sprite data available"
"body","child","idle","No LPC data found for body/child","No sprite data available"
"body","child","shoot","No LPC data found for body/child","No sprite data available"
"body","child","slash","No LPC data found for body/child","No sprite data available"
"body","teen","walk","No LPC data found for body/teen","No sprite data available"
"body","teen","hurt","No LPC data found for body/teen","No sprite data available"
"body","teen","idle","No LPC data found for body/teen","No sprite data available"
"body","teen","shoot","No LPC data found for body/teen","No sprite data available"
"body","teen","slash","No LPC data found for body/teen","No sprite data available"
"torso","male","walk","torso/clothes/sleeveless/sleeveless2_polo/male/walk.png","HTTP 404: Not Found"
"torso","male","hurt","torso/clothes/sleeveless/sleeveless2_polo/male/hurt.png","HTTP 404: Not Found"
"torso","male","idle","torso/clothes/sleeveless/sleeveless2_polo/male/idle.png","HTTP 404: Not Found"
"torso","male","shoot","torso/clothes/sleeveless/sleeveless2_polo/male/shoot.png","HTTP 404: Not Found"
"torso","male","slash","torso/clothes/sleeveless/sleeveless2_polo/male/slash.png","HTTP 404: Not Found"
"torso","female","walk","torso/clothes/robe/female/walk.png","HTTP 404: Not Found"
"torso","female","hurt","torso/clothes/robe/female/hurt.png","HTTP 404: Not Found"
"torso","female","idle","torso/clothes/robe/female/idle.png","HTTP 404: Not Found"
"torso","female","shoot","torso/clothes/robe/female/shoot.png","HTTP 404: Not Found"
"torso","female","slash","torso/clothes/robe/female/slash.png","HTTP 404: Not Found"
"torso","child","walk","torso/clothes/shirt/child/walk.png","HTTP 404: Not Found"
